word,x,y,z,category
elend,-0.06639871,-3.1314657,-6.503259,Characters
kelsier,-4.240991,-2.3841605,2.5158613,Characters
sazed,0.984553,-1.4139408,0.811503,Characters
lord,-2.4659188,-0.35790104,1.97695,Characters
embargo,-1.1883584,-1.2220994,-4.7526546,Others
mientras,3.4241362,-0.36076137,0.78230435,Others
pensó,-3.284589,3.2706485,3.7593255,Verbs
legislador,-1.1179622,-0.70436764,4.687651,Characters
hombre,-2.6332872,4.3569837,1.5922241,Others
cabeza,-2.2603571,-2.6198626,-1.1658353,Others
ciudad,-2.1418803,4.0056977,-1.3945812,Places
brisa,3.3346462,2.7558355,-2.521071,Others
fantasma,-2.0327265,5.166627,1.8227211,Characters
solo,4.9278016,-0.5060148,0.48003975,Others
bien,0.32147634,0.6418818,2.6784925,Others
hombres,1.6223508,-2.3192687,4.53504,Entities
bruma,0.9411319,1.6556282,-0.5975731,Objects
poder,3.9301019,0.26402944,-0.7782947,Others
asintió,0.77753025,-1.2168665,-0.06042003,Verbs
ojos,-2.2694738,-2.7492976,-1.3145462,Others
gente,2.3688061,-4.0655932,2.0626667,Entities
tiempo,-0.585995,3.6537073,-4.6415014,Others
koloss,3.8033879,1.1171612,-0.00938863,Entities
skaa,-0.09492007,4.649535,-0.46884114,Entities
cómo,1.5554496,-2.236153,-3.9447687,Others
hecho,-2.8208072,-4.9278355,-0.006900259,Others
brumas,-5.915739,-3.160063,0.86172503,Others
hacer,3.241507,1.3243074,1.2594438,Verbs
miró,5.62565,-1.0669324,1.8842478,Verbs
metal,-3.7391276,1.5805384,-3.5505595,Objects
